fips,county,state
6073,San Diego,California
6025,Imperial,California
4027,Yuma,Arizona
4019,Pima,Arizona
4023,Santa Cruz,Arizona
4003,Cochise,Arizona
35023,Hidalgo,Nuevo Mexico
35029,Luna,Nuevo Mexico
35013,Dona Ana,Nuevo Mexico
48141,El Paso,Texas
48229,Hudspeth,Texas
48243,Jeff Davis,Texas
48377,Presidio,Texas
48043,Brewster,Texas
48443,Terrel,Texas
48465,Val Verde,Texas
48271,Kinney,Texas
48323,Maverick,Texas
48479,Webb,Texas
48505,Zapata,Texas
48427,Starr,Texas
48215,Hidalgo,Texas
48061,Cameron,Texas
